,index17_106,index17_85,index17_84,index17_100,index17_104,index17_103,index17_87,index17_96,index17_86,ew0114_2,index17_91,index17_101,index17_99,index17_102,index17_94,index17_89,index17_105,index17_93,index17_95,index17_88,index17_98,index17_92,index17_97,ew0112_107
1200,6359.480775065504,9843.118701529844,8655.93275225977,8551.9402960167,16041.15559080168,15273.498370590052,16462.92690152888,15223.04419787385,11931.279548838063,10344.013923110344,9382.483866072078,17511.345286440377,7561.749637466574,15849.166966971281,10928.948235396394,13508.259724392874,13463.553257610518,3818.250825276942,9598.73111732202,6482.635538653535,6682.357464397178,5796.942992904258,11786.505449534085,12373.923541019074
1260,6422.906439414914,9877.436371440284,8670.498932328002,8466.723865110436,16035.885025318992,15278.401763425058,16496.769904508034,15292.838478901891,11811.380860594089,10346.708215956132,9388.067824726882,17461.71992579522,7485.993453282804,15973.335763818559,10841.478810945504,13626.021741138433,13324.882624298441,3865.6716632131206,9583.470816707299,6412.765475701281,6702.79008375096,5877.254546258524,11730.160137632856,12356.524478194304
1320,6445.482320240389,9968.526352633675,8716.606611989462,8419.210775729187,16043.637871936586,15494.665347006781,16531.148318423435,15367.248176037572,11724.727406955762,10373.806243556715,9395.37183148368,17478.628696259046,7412.958012854239,15967.921290873639,10932.07839212065,13661.856979130225,13061.870227390544,3902.2253710775376,9539.437450282188,6387.846269673284,6694.017910997043,5878.780609311575,11827.313953105637,12353.19341199309
1380,6358.011804557964,9974.586281194772,8707.372509719893,8498.359257699112,16220.26616452672,15519.653907725238,16638.71044366186,15403.206750375013,11609.104155927895,10359.954933210502,9370.342680558331,17531.49004981232,7369.928715665483,16133.739123776226,11026.0527531523,13697.055366660199,13188.440287648895,3968.962222175693,9571.986438996666,6362.802583935902,6687.5798301150335,6058.132997905341,11817.224541199188,12309.358289799879
1440,6309.419960979456,9887.783922243087,8743.69548803638,8445.333440652052,16221.29624819917,15475.771243265532,16582.39046933789,15467.70062888151,11596.468101697474,10337.911569140551,9358.628827072791,17503.181960284124,7313.099576270193,16177.788229113172,11006.149873903825,13747.835214620012,13382.20941478092,4030.3853425807984,9553.91611944773,6324.582450730907,6664.183582294893,6067.994171437595,11792.963752078507,12371.889201601773
1500,6353.110385750069,9857.458024358957,8822.672849455581,8366.091441068902,16222.105661476697,15553.84337461929,16610.54494242415,15423.699222364958,11496.214505638514,10293.968411279107,9332.633368381707,17460.779357117233,7327.826187348775,16158.659713286524,10659.402339476263,13724.890173041102,13214.712105514414,4031.9502942374997,9570.730626000406,6257.910619010099,6624.853155515902,6085.78501963332,11921.068112804307,12396.103124789397
1560,6141.964516840675,9816.970684554197,8748.937145049887,8346.670546951435,16201.126933573965,15585.060737201191,16478.714922462765,15408.724891856942,11406.61591430153,10385.274454393115,9315.421336936428,17451.726928814755,7297.349608281615,16195.7433952336,10480.354952590063,13720.65653934125,13004.882222765165,4063.411076045001,9712.837790715192,6208.044887603742,6616.38879428703,6365.494265423334,11883.698585407305,12501.779222715033
1620,5960.903408331689,9730.746441329662,8806.372230476305,8295.842848225471,16268.820766181303,15685.84328397676,16478.986239165984,15374.764975608286,11285.898668419068,10446.373472233496,9279.372764341184,17387.921155094115,7205.4234190391635,16154.865152255123,10542.704206710405,13779.461172476807,13180.068363004026,4130.58100481485,9632.46662398303,6188.868898729171,6457.404326316704,6419.9115845773995,11918.351639633105,12474.01868302082
1680,6095.239109743491,9732.92972853441,8841.345106000988,8295.179705844857,16304.846976815037,15599.120272056636,16304.879490070653,15342.678898717142,11157.119910500787,10125.41032160523,9377.384375233023,17344.968336298556,7206.600521140824,16231.928957322041,10527.69572666061,13793.401868718182,12855.877306658182,4171.935130911356,9660.243847493066,6188.820174215001,6564.292542451789,6398.798146946168,11932.213259456461,12381.961065752688
1740,6082.649422027831,9761.090487261858,8797.565809325424,8158.7393304051675,16355.593385261438,15540.20351512807,16122.586702288161,15329.26604855006,11139.161583506668,8070.134560786496,9389.124953494831,17366.89854660874,7124.537812776119,16244.541121740056,10497.615822288737,13856.430005460705,13176.887163152116,4077.7909614728387,9766.579418461635,6168.417668075377,6555.642987726618,6453.093462103228,11880.493727962072,12182.604602389143
