,wi933014_37,wi933014_14,wi933014_75,wi933014_24,wi933014_29,wi933014_63,wi933014_13,wi933014_7,wi933014_56,wi933014_51,wi933014_41,wi933014_31,wi933014_73,wi933014_30,wi933014_72,wi933014_36,wi933014_23,wi933014_16,wi933014_9,wi933014_42,wi933014_11,wi933014_67,wi933014_43,wi933014_15,wi933014_65,wi933014_28,wi933014_60,wi933014_64,wi933014_26,wi933014_49,wi933014_48,wi933014_32,ew0114_2,wi933014_50,wi933014_19,wi933014_17,wi933014_22,wi933014_55,wi933014_47,wi933014_81,wi933014_33,wi933014_38,wi933014_40,wi933014_34,wi933014_39,wi933014_58,wi933014_35,wi933014_18,index17_95,wi933014_61,wi933014_52,wi933014_69,wi933014_59,ew0007_82,wi933014_74,wi933014_70,wi933014_54,wi933014_66,wi933014_10,wi933014_53,wi933014_80,wi933014_6,wi933014_27,wi933014_57,wi933014_62
16440,6461.250888346372,1725.253458500585,,22149.187393629636,1570.585040515952,,287.4345421594729,19386.27984023328,,,11707.058937249703,7275.849361287817,,9657.35655790442,,22667.417222927048,17481.33857805404,6720.611670583292,8466.445454098786,16051.357263545837,33663.0075357251,,,5162.7099708299675,,9926.945738380737,,,18969.232894513552,,,4751.127846390896,43633.26327993788,,54898.09374154938,18582.637521286833,23743.726835513942,,,16776.385505409708,1892.3912815370697,17384.076918489074,10739.4297582419,657.1377286684242,1506.5892327034053,,4044.079848919341,6456.699886777841,7093.818126800383,,,,,1957.9339102950998,,,,,1220.747733456086,,1054.8784111466528,980.0270601728985,10816.201171118037,,
16500,6257.993041204901,1818.8847463511383,,22392.899458797147,1410.9844381370538,,266.34032004364775,19259.234860392335,,,11761.662333829803,7549.026004790162,,9689.962186308723,,22761.31880948605,17673.330428701724,6705.836911952159,8446.899214316563,16088.14326252228,34132.27070298186,,,5032.715092814024,,9873.580714872376,,,18809.71092965283,,,4815.483431829518,39662.51050552349,,55265.082430171,18404.425285310972,23642.325703019873,,,16724.889784688505,1948.1654130728814,17406.10420418061,10782.443901791956,611.2436065679767,1723.4525627714795,,4051.0658661340603,6480.694327007616,7289.137858173816,,,,,1801.8043530593097,,,,,1051.2586212475749,,1238.3923518104089,1005.2704996384659,10945.492317271166,,
16560,5894.936527763948,1905.230140965726,,22466.022471310913,1122.8541022852996,,290.45342492771914,19263.576405968834,,,11798.50413797458,7890.510783477345,,9943.420843105552,,22739.133193548714,17571.768322322445,6827.676975547103,8554.837962013506,15983.771036431479,34461.23890006572,,,5008.805180224327,,9635.707290801261,,,18804.6253854784,,,4762.066101411231,40867.464593229095,,55524.88253517487,18552.899491097247,23842.400742977057,,,16738.671313822055,1869.8798525378113,17641.689389873878,10825.423214664776,566.1538597383209,1898.7536301882826,,4027.5528935477764,6551.7418479743355,7604.806559938653,,,,,1784.9308947441739,,,,,1027.5004570011263,,1415.0423546228153,901.8449898585101,11105.541025293893,,
16620,5786.672841164397,2042.984351338342,,22719.985707520318,944.7691433026303,,267.98282819899254,19112.090311914675,,,11666.026227674067,7796.014576736709,,9891.15492367447,,22752.07999786555,17527.40556990888,6715.86087280164,8488.534298707425,16079.977242606597,34804.96576108548,,,4928.977729122238,,9686.503975954256,,,18838.07124773169,,,4838.738289923864,41693.48003019485,,56025.63278692864,18798.110437885996,23917.74708166219,,,16651.181789175964,1841.7127824635693,17624.656803297086,10865.479006783245,558.8528675419066,2179.8403255081184,,4032.994015952457,6584.093659529267,8031.953217869752,,,,,1638.4267227249632,,,,,811.2181427059757,,1615.405156985884,931.598801745502,11376.628834469804,,
16680,5585.940236903994,2336.4620114583054,,23010.41497065635,820.8135093390696,,297.48244507646365,19123.765822190446,,,11592.83570578763,7826.9539738736485,,10006.984539409461,,22872.58418925841,17598.202339600295,6667.156600556811,8502.817212322316,16113.187968950886,35276.8508023749,,,4920.249849568873,,9637.530048953487,,,18670.093680989463,,,4775.148167005728,41570.63989011704,,56395.99257903016,19125.5373742699,23860.279093272242,,,16662.32445401115,1942.198696859713,17724.17842175446,10907.19185260325,704.694022027816,2336.267625618777,,3989.793201231392,6687.954667718657,8404.967908910967,,,,,1615.61247302438,,,,,644.2476018703346,,1647.1081793746098,937.1464227678177,11545.174077049434,,
16740,5448.830681804098,2655.187671530079,,23129.824399905003,526.1826971873442,,270.3507705114938,18991.33478382469,,,10900.202477088833,7982.364669376336,,10173.162643487092,,22860.304163397705,17539.447531761656,6643.919149452351,8475.829767192085,16009.91892175546,35526.65621093872,,,4779.87827350521,,9418.809244848573,,,18670.669801606255,,,4841.139949790789,41726.82172805575,,56922.31758241315,19515.506249559512,24061.18248053023,,,16629.072851810688,1872.1622071409338,17814.289405615906,10947.11576034207,503.5488813744724,2605.903181876466,,3844.499422343478,6738.5274462489915,8661.439843065602,,,,,1559.5128076577955,,,,,559.4191706123747,,1634.382008722369,904.3360018812563,11772.635764744102,,
16800,5538.951883959386,3057.4881025916875,,23426.427006446014,465.64692854528505,,319.33613522588064,19006.854302115233,,,10935.538541637692,7943.672202830335,,10252.308819598982,,22969.573997824013,17731.330773178084,6567.731861513577,8307.690248814024,16099.91808423594,35904.08107029403,,,4853.36626986816,,9476.928424805374,,,18706.995670722157,,,4776.828091766315,41825.635566291654,,57247.63146999381,19620.764119338935,24134.462386626023,,,16685.655673729514,1958.6345188672817,17860.06939705595,10986.167800408632,525.5072526447693,2753.525989914422,,3900.743076583989,6820.964617747462,8875.963685643288,,,,,1403.8549053701013,,,,,500.30645324883983,,1847.6845866160288,821.1159431355745,11905.825539989697,,
16860,5293.510702328013,3770.156046394642,,23606.619456199227,254.95556956946487,,344.9132566124671,18811.10405098935,,,11024.741876596447,7959.497435999873,,10403.418559609101,,22988.471585182757,17623.798443741165,6505.173791365499,8271.56956886493,16127.09495690388,36172.45105319619,,,4794.962553326537,,9364.505973862448,,,18534.59991905171,,,4868.0694613096675,41942.16655935355,,57807.24211355984,19971.132231531596,24080.93299920021,,,16674.775560044476,1908.0313777852732,18199.659136758743,11023.784573794866,461.3016977803631,2912.6376609560057,,3889.620800600148,6970.400616336529,9097.511513624431,,,,,1395.4797383686,,,,,671.029831356741,,1879.4071135565762,815.2844649869314,12115.362032889754,,
16920,5109.797553962987,4642.850217015868,,23733.90537643523,146.78231005883114,,300.30741838611027,18852.67498036894,,,11048.92831167824,8246.75831276649,,10512.406056770647,,23139.884418723686,17680.877240490925,6482.463882838336,8359.503052119437,16030.352782157097,36480.95540879097,,,4597.577232090625,,9476.395987541897,,,18531.271318870586,,,4888.166738388943,42069.655606525375,,58173.23868050055,20224.631063740962,24267.00104131678,,,16741.449865911243,2005.1966744370127,18361.748932347116,11062.21080239888,345.4101086619544,3162.6811687208733,,3842.301483285593,7000.993915129141,9345.284842471207,,,,,1475.4368136028286,,,,,956.4542490433298,,1931.7003586516937,989.7938055711243,12391.925956430448,,
16980,5178.075508047912,5473.69948896996,,24052.478041235787,149.04007218261566,,355.25422130854355,18693.595834559506,,,10792.503764062329,8338.159647571318,,10632.053619822686,,23220.129454887832,17874.15630410674,6650.123050779961,8154.968521125312,16109.982026611695,36847.32121539632,,,4693.4654665003,,9478.860910732123,,,18565.15659620448,,,4811.317015090638,42198.18014382144,,58771.95272783707,20401.09737813275,24220.910439610543,,,16746.383288576322,2001.7550160885546,18689.38257222745,11105.527439811724,247.05337321003475,3224.4119910303907,,3816.3504964310373,7083.888787299844,9616.429636385834,,,,,1371.2907904685887,,,,,1270.061072814641,,2031.3059692041043,869.1256627223253,12589.981316495678,,
