,index17_106,index17_85,index17_84,index17_100,index17_104,index17_103,index17_87,index17_96,index17_86,ew0114_2,index17_91,index17_101,index17_99,index17_102,index17_94,index17_89,index17_105,index17_93,index17_95,index17_88,index17_98,index17_92,index17_97,ew0112_107
2100,228.05155271453475,429.29665889334007,1673.8592383073935,1273.6782721811524,1252.8050608821075,925.7174806533401,3805.233460126339,1308.0026423198258,1467.790355368461,1288.7848740073298,1007.8181081318652,2665.2160411855516,2129.044226865336,1968.8237845339736,3249.5763068415813,2577.2330661900596,1833.2289457711906,1102.1698407326508,2557.851547603894,1481.9819702183938,1678.9063274272578,3200.187886785753,1496.6116865409342,2529.1129700910615
2160,358.07205536108273,455.886360332847,1527.611380822876,1178.9055433974072,1346.5445539070258,928.548686586428,3850.245799375573,1332.9780347406454,1424.6215078946511,1359.0420594669745,980.4692335563918,2749.9277475829726,2134.7464004586977,1944.1183720242266,3131.146332191637,2612.1895062840986,1842.697076301745,1211.8303620024778,2592.066335265443,1501.1125395862812,1755.546283882193,3141.53871201534,1343.292720556036,2498.7531222625166
2220,448.0835500230193,484.99325944582085,1510.912797526512,1138.1312784453974,1317.5604507106407,774.01594359554,3846.8355153004604,1259.4130890682975,1506.363134240083,1626.665072129219,977.9635769834957,2602.1507951733824,2172.718971792695,2029.995096709069,3133.393957885437,2524.3506633598636,1828.5448898868417,1000.4839096165227,2572.632467208254,1492.7842331601294,1727.2979162135616,3102.9540786334696,1430.120995378328,2478.0070899486877
2280,488.3040036489325,501.59023549513336,1516.6105117109837,1100.8072750561703,1194.6888676347974,699.2894537633138,3867.529977360877,1155.8232286713408,1455.8512945766092,1735.3319671095528,940.5733893184988,2633.0092469898436,2239.8134572145023,2072.4391706445554,3167.6385125167485,2571.38510170792,1792.6416124719756,942.8098151934058,2536.3977962597214,1436.2765037191843,1741.3313510065298,3081.2902885363665,1362.0846197084882,2513.8536340054475
2340,486.00732474546436,483.05484435236673,1562.8761860903264,1097.2776774240583,1090.7687634477306,735.3814763773396,3960.0800327874676,1104.8682268352916,1423.5823520770393,1733.3681425157904,891.3409454697761,2755.1481214549935,2268.723714484289,2038.7393222297198,3129.9821031330175,2617.8588960635293,1794.713036165523,1069.5977771212774,2493.805963884664,1429.8998405648872,1850.4403125801941,3149.3988708298457,1465.9599066815188,2565.840216138071
2400,613.8517432717467,517.6808854064958,1590.6441481148584,1076.2964759212773,1063.9904220337048,801.3223815566122,3989.555837115159,1130.4630833304066,1386.186087651695,1678.3777780366584,850.8711230125941,2826.4558080296288,2051.108555149386,2003.0985130593783,3191.6087759830343,2621.2736162562414,1805.9332460044761,1332.8447395442724,2488.410493803767,1374.8878310348268,1954.3025961364817,3211.3973364309195,1523.318205645052,2576.0227586132105
2460,628.9820673448397,551.6620536432886,1754.0688242267292,1048.7482288774745,1066.841201980022,828.6042937034272,3969.0774440098,1194.9219041513627,1412.3254705564657,1669.1923603156588,812.3657659164697,3014.765333630114,2092.242713116297,1969.4943628782178,3215.329204868494,2564.0054525788205,1679.5379235262867,1339.498335352125,2509.1844738931773,1421.526526920383,1948.1950321445818,3241.8371798383882,1567.2113513890579,2585.9056314464883
2520,641.7917047540546,440.5586851809373,1869.973795573203,946.0229083534199,1014.7484652410525,855.8968924197136,4030.902089029941,1175.3629996357715,1198.817706223295,1634.8207890907797,742.9117006583531,3014.7471630355026,2102.2564585729924,1981.4291242422312,3172.8567590095486,2623.462315228257,1787.8277151080188,1465.8695375101813,2622.6570621978176,1437.3437531328175,2043.7826433872078,3337.1956787364957,1659.3347821671675,2560.6252592474393
2580,752.0841394613442,816.328468478754,1841.2784509301894,975.9102744160474,1036.31987983155,825.0832136989001,4055.9217611136914,1131.2187149064266,1151.8431280319264,1668.2316963714188,832.0151292089795,3000.031830681091,2098.3389729081523,1967.9665284593666,3054.7841560440506,2647.139289398624,1890.0844464333165,1479.29909581296,2713.216904279021,1382.929661485447,2132.627537666159,3399.38162168909,1552.3631320247605,2541.145923438131
2640,795.833813718997,808.8604321516867,1980.6346765764686,1045.710336959277,972.5146518088945,805.4802301511519,4204.554899569681,1093.5302211338512,1244.9072748927724,1772.8445692321066,808.259817248561,3020.14698776819,2116.3237945144356,2013.8311588263628,3061.6279439089008,2702.6699283886,2271.7518338266864,1478.3202553261924,2777.592500714259,1322.2907966931084,1970.2428267682672,3444.4970708419914,1439.2203885608187,2430.742371881459
