,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
ew9704_726,,,2880.0,,,21210.897231119703,,,
ew9704_425,,,2880.0,,,13396.233536951328,,,
ew9704_180,,,2880.0,,,50740.894522809635,,,
ew9704_193,,,2880.0,,,34928.94343197813,,,
ew9704_307,,,2880.0,,,64400.180952316034,,,
wi933014_73,,,8820.0,,,44861.10476190979,,,
wi933014_30,,,28140.0,,,143807.835699904,,,
wi933014_72,,,8640.0,,,43414.015498513065,,,
ew9704_676,,,2880.0,,,54021.97136061539,,,
wi933014_36,,,56220.0,,,286283.49040550773,,,
ew9704_859,,,2880.0,,,65302.92150537669,,,
ew9704_672,,,2880.0,,,39143.28402658305,,,
ew9704_471,,,2880.0,,,28313.352858724054,,,
ew9704_139,,,2880.0,,,55342.40848822097,,,
ew9704_175,,,2880.0,,,44758.93867420504,,,
ew9704_296,,,2880.0,,,46336.91296406122,,,
ew9704_350,,,2880.0,,,2808.678901849455,,,
ew9704_780,,,2880.0,,,3084.2677177860364,,,
ew9704_813,,,2880.0,,,4281.805358538567,,,
ew9704_439,,,2880.0,,,2141.143559259909,,,
ew9704_414,,,2880.0,,,2523.0766314382836,,,
ew9704_333,,,2880.0,,,29813.41179691397,,,
ew9704_455,,,2880.0,,,13810.504437719599,,,
wi933014_23,,,112080.0,,,463557.3502262066,,,
ew9704_644,,,2880.0,,,1841.6441983488085,,,
wi933014_78,,,3420.0,,,15959.738482253753,,,
ew9704_479,,,2880.0,,,3764.951236410223,,,
ew9704_395,,,2880.0,,,1588.207558407404,,,
ew9704_463,,,2880.0,,,30505.84367586912,,,
index17_100,,,7560.0,,,17652.883137018358,,,
ew9704_598,,,2880.0,,,13389.182800474955,,,
ew9704_661,,,2880.0,,,75845.07960370598,,,
ew9704_560,,,2880.0,,,2109.140190274688,,,
ew9704_714,,,2880.0,,,12760.94790512676,,,
ew9704_842,,,2880.0,,,57234.040224904726,,,
ew9704_212,,,2880.0,,,48859.22840665092,,,
index17_104,,,72300.0,,,17511.044306497017,,,
ew9704_388,,,2880.0,,,4099.4621057846525,,,
ew9704_812,,,2880.0,,,3724.9569637981767,,,
ew9704_811,,,2880.0,,,6490.151947361015,,,
ew9704_331,,,2880.0,,,29292.022269061803,,,
ew9704_513,,,2880.0,,,25441.91606142819,,,
ew9704_450,,,2880.0,,,38416.8212041221,,,
ew9704_563,,,2880.0,,,18734.44569429991,,,
ew9704_809,,,2880.0,,,16746.98974132653,,,
wi933014_16,,,26820.0,,,157819.55977773108,,,
ew9704_896,,,2880.0,,,33607.19464637571,,,
ew9704_161,,,2880.0,,,53049.74162689212,,,
ew9704_520,,,2880.0,,,29885.76398308423,,,
ew9704_389,,,2880.0,,,5889.460210882541,,,
ew9704_599,,,2880.0,,,18724.897285845607,,,
ew9704_527,,,2880.0,,,48576.17381407882,,,
ew9704_782,,,2880.0,,,4232.893585913008,,,
